0.8,-0.196,0.864397737
0.8,-0.192,0.857235109
0.8,-0.19,0.853454704
0.8,-0.178,0.827674193
0.8,-0.17,0.807148517
0.8,-0.162,0.783535306
0.8,-0.146,0.7256278
0.8,-0.138,0.690725927
0.8,-0.116,0.573161863
0.8,-0.108,0.52319762
0.8,-0.106,0.51021753
0.8,-0.092,0.415516484
0.8,-0.062,0.214370812
0.8,-0.046,0.126095482
0.8,-0.036,0.082136804
0.8,-0.034,0.07450558
0.8,-0.03,0.060451487
0.8,-0.026,0.04803827
0.8,0.008,0.011370599
0.8,0.034,0.067275517
0.8,0.04,0.090163717
0.8,0.042,0.098580206
0.8,0.062,0.202291987
0.8,0.072,0.265057196
0.8,0.074,0.278231839
0.8,0.08,0.31865241
0.8,0.086,0.359983063
0.8,0.102,0.470321465
0.8,0.11,0.52319762
0.8,0.118,0.573161863
0.8,0.168,0.79575064
0.8,0.192,0.853454704
0.8,0.194,0.857235109
0.8,0.196,0.860881225
0.8,0.21,0.883020693
0.8,0.268,0.932970287
0.8,0.272,0.934835194
0.8,0.274,0.93571516
0.8,0.288,0.940981275
0.8,0.29,0.94161553
0.8,0.294,0.942802394
0.8,0.302,0.944865159
0.8,0.314,0.947235344
0.8,0.318,0.947842903
0.8,0.352,0.949446764
0.8,0.36,0.9488425
0.8,0.37,0.947463706
0.8,0.388,0.942811548
0.8,0.39,0.942080631
0.8,0.408,0.932780197
0.8,0.424,0.91829137
0.8,0.452,0.858476032
0.8,0.47,0.750234773
0.8,0.474,0.707723411
0.8,0.482,0.585567684
0.8,0.492,0.330457306
0.8,0.494,0.263231487
0.8,0.51,-0.357211433
0.8,0.532,-0.820011067
0.8,0.544,-0.901947591
0.8,0.546,-0.910613062
0.8,0.55,-0.92519697
0.8,0.556,-0.941802939
0.8,0.568,-0.962957891
0.8,0.594,-0.983484304
0.8,0.602,-0.986664471
0.8,0.636,-0.993925912
0.8,0.652,-0.995584205
0.8,0.664,-0.99646727
0.8,0.67,-0.996826119
0.8,0.674,-0.997040427
0.8,0.68,-0.997329441
0.8,0.682,-0.997417983
0.8,0.686,-0.997584512
0.8,0.698,-0.998011087
0.8,0.712,-0.998399261
0.8,0.72,-0.998580335
0.8,0.732,-0.99880863
0.8,0.74,-0.998937079
0.8,0.754,-0.999125461
0.8,0.766,-0.999257269
0.8,0.782,-0.999400127
0.8,0.796,-0.999501043
0.8,0.814,-0.999605561
0.8,0.822,-0.999644681
0.8,0.856,-0.999773689
0.8,0.858,-0.999779766
0.8,0.894,-0.99986856
0.8,0.92,-0.9999142
0.8,0.926,-0.999923087
0.8,0.95,-0.999953679
0.8,0.984,-0.999985625
0.8,0.996,-0.999991833
